pdb_id,resolution,r_free
6siv,1.752,0.2202
6sjh,1.5,0.2117
6sjn,1.75,0.1729
6skc,2.18,0.241
6slb,1.88,0.2171
6slh,1.89,0.2158
6smy,2.45,0.2701
6sov,1.31,0.2365
6sp4,2.59,0.2247
6sp9,1.22,0.2352
6spy,1.6,0.1821
6sq2,1.684,0.2023
6sqf,2.006,0.2146
6sqk,1.4,0.2128
6sqy,1.9,0.2145
6sr6,2.5,0.2234
6srp,2.3,0.1887
6st6,2.05,0.3106
6stk,1.52,0.2028
6stt,1.54,0.1878
6su5,1.2,0.1889
6su8,2.48,0.19
6suk,1.75,0.1997
6suo,1.74,0.244
6svi,1.16,0.19273
6svk,1.604,0.247
6swb,2.259,0.2554
6swv,1.432,0.2058
6sx2,1.9,0.1915
6sx8,1.8,0.2544
6sxi,1.85,0.2029
6sxp,2.15,0.2284
6syg,1.5,0.184
6syo,1.25,0.1361
6szl,1.45,0.2155
6t04,1.5,0.1917
6t0h,1.18,0.1808
6t1l,2.0,0.2647
6t38,2.15,0.2431
6t3c,2.62,0.235
6t3v,1.62,0.1637
6t4c,1.8,0.208
6t4k,1.89,0.2049
6t4s,2.02,0.2999
6t5d,1.42,0.1947
6t6o,1.4,0.1665
6t6p,1.57,0.1702
6t6x,1.25,0.1752
6t74,1.9,0.1748
6t76,1.9,0.2258
6t7k,1.79,0.1935
6t7q,1.01,0.1322
6t8n,1.77,0.237
6t97,2.8,0.2576
6t99,2.7,0.2648
6t9p,2.7,0.2519
6t9r,1.72,0.1922
6ta0,1.58,0.1766
6tbk,1.6,0.2118
6tbo,2.07,0.2899
6tbq,1.72,0.2633
6tby,1.8,0.2118
6tc4,2.0,0.2226
6tcf,1.79,0.2329
6tci,1.47,0.2179
6tcr,1.45,0.1836
6tcv,1.311,0.1772
6tdh,1.58,0.2273
6tdr,1.75,0.2299
6tek,1.8,0.2545
6tfa,2.163,0.2785
6tfq,2.05,0.199
6tg8,2.75,0.2584
6tgk,1.3,0.2068
6tgw,2.8,0.2736
6th7,2.2,0.2443
6thl,2.8,0.2997
6thu,2.6,0.216
6thv,1.1,0.1688
6thx,1.99,0.254
6ti3,1.96,
6tic,1.281,0.2108
6tjb,2.3,0.2589
6tji,2.2,0.2605
6tjy,2.82,0.2567
6tkj,2.81,0.2441
6tlb,2.85,0.23647
6tll,1.88,0.187
6tlo,1.69,0.1713
6tlr,1.64,0.1776
6tnc,2.3,0.2356
6tnl,1.95,0.2836
6tot,2.22,0.239
6tp0,2.04,0.1849
6tp6,2.338,0.2438
6tpc,1.52218948487,0.221846673182
6tpn,2.608,0.251
6tpw,2.9,0.3012
6tq1,1.9,0.2135
6tqv,1.35000968892,0.168876487598
6tr3,1.7,0.2187
6tr9,2.46,0.2579
6trg,1.0,0.1161
6trk,1.6,0.1877
6trl,2.2,0.2154
6tsi,2.38,0.2795
6tsm,1.4,0.1978
6tsz,1.9,0.2534
6tt9,1.9,0.2132
6ttz,2.2,0.2383
6tv2,1.561,0.2024
6tva,1.74,0.2153
6tvq,1.45,0.2426
6tw0,2.5,0.2656
6tw2,1.8,0.2225
6twk,2.25,0.1937
6txc,2.84,0.2489
6txp,0.95,0.1269
6ty7,1.5,0.1935
6tyv,1.92611100742,0.234844595656
6tyw,1.69965540409,0.21816164121
6tzp,1.72,0.1787
6tzu,1.8,0.2014
6u0c,2.0,0.2015
6u0j,1.9,0.2213
6u0q,1.75,0.2224
6u12,1.56,0.1989
6u1b,2.08008557193,0.21521458249
6u1t,1.483,0.1733
6u22,1.42,0.1743
6u2s,1.5,0.1883
6u3l,1.75,0.2179
6u4b,2.1,0.2269
6u4p,2.49,0.2495
6u4x,2.25,0.2376
6u5e,1.56,0.1509
6u66,0.99,0.1895
6u69,2.61,0.2461
6u76,2.1,0.2155
6u81,2.34,0.247
6u8l,1.57,0.1756
6u94,2.35,
6u9a,1.65,0.228
6ubh,1.8,0.2251
6ubr,1.96,0.2094
6ubu,1.6,0.22
6uc8,1.898,0.2242
6uce,1.382,0.2037
6ucs,1.85,0.1942
6ud1,1.55,0.1918
6udn,2.602,0.2556
6udu,1.75,0.2289
6udy,1.7,0.285
6uep,2.05,0.192
6uf3,1.6,0.2288
6ugg,1.95,0.2381
6ugo,1.457,0.203
6ugv,2.4,0.2099
6ugw,2.0,0.2189
6uh3,2.7,0.2793
6uil,2.85,0.3064
6uj4,1.53,0.1775
6uj6,2.68,0.2702
6uje,1.75,0.26
6ujf,2.0,0.2817
6ul9,2.5,0.2441
6uln,2.01,0.2175
6ulp,2.8,0.2477
6ulu,2.76,0.2851
6umg,2.7,0.2819
6umw,1.982,0.2212
6umx,2.79,0.2643
6un3,1.9,0.2668
6un9,2.8,0.3734
6unb,1.3,0.1671
6une,2.55,0.2636
6ung,2.3,0.2767
6unj,2.6,0.2878
6unk,2.75,0.2844
6unl,2.55,0.2763
6uqi,2.5,0.239
6us0,1.653,0.201
6usn,2.773,0.2011
6ute,2.9,0.2641
6uud,1.85,0.2235
6uuq,1.849,0.2049
6uut,1.65,0.235
6uuy,1.37,0.1762
6uvi,2.1,0.2744
6uvv,1.63,0.1862
6uvx,2.3,0.2578
6uwu,2.0,0.2606
6uxc,1.65,0.2039
6uxd,2.0,0.2493
6uxx,2.69,0.277
6uy8,1.649,0.2083
6uyp,1.418,0.1725
6uzf,1.75,0.2193
6v0x,1.5,0.2229
6v19,2.6,0.2237
6v23,1.75,0.2413
6v2e,1.83,0.1896
6v2t,1.9,0.2449
6v3t,2.84,0.3083
6v4g,1.25,0.1962
6v52,1.78,0.2195
6v5g,1.68,0.2294
6v5p,2.3,0.1937
6v65,2.763,0.2409
6v9g,2.35,0.2448
6vb2,1.41,0.2318
6vby,1.7,0.2148
6vcn,1.9,0.2514
6vd6,1.563,0.2161
6vg0,2.66,0.2643
6vh1,2.3,0.2534
6vif,2.26,0.2836
6viy,1.904,0.2553
6vj9,2.3,0.25839
6vjr,1.55,0.15773
6vkf,2.524,0.2558
6vkj,2.105,0.226
6vm8,2.41,0.2214
6vmc,2.85,0.2385
6vmh,2.75,0.2653
6vmj,2.95,0.2652
6vnh,2.4,0.2665
6vnr,1.94301319072,0.211118860492
6vnt,1.25,0.1807
6vot,2.4,0.2357
6vov,1.95,0.2675
6vpl,1.86,0.201
6vq2,2.25,0.2304
6vq5,2.6,0.2589
6vqz,2.25,0.2437
6vre,2.29,0.24
6vrm,2.61,0.2753
6vs9,1.842,0.2077
6vtd,2.4,0.3063
6vtr,2.3,0.2558
6vtv,2.06,0.2182
6vut,2.73,0.2268
6vv8,2.683,0.2581
6vwa,2.196,0.2226
6vze,1.9,0.2398
6vzr,2.6,0.249
6vzx,1.37,0.1774
6w0p,2.23,0.2459
6w0t,1.95,0.2575
6w1r,2.23,0.2346
6w1u,2.09,0.2386
6w29,2.14,0.2388
6w39,1.736,0.2346
6w3w,1.55,0.2279
6w45,1.7,0.1864
6w4h,1.8,0.1627
6w56,1.9,0.2009
6w5f,1.5,0.191
6w68,2.55,0.3258
6w6r,2.05,0.2425
6w7g,1.85,0.191
6w7v,1.7,0.2127
6w8b,2.4,0.2326
6w8d,2.598,0.2526
6w8e,2.68,0.3063
6w9a,2.3,0.2186
6w9w,2.65,0.2426
6w9x,1.7,0.2468
6wa2,2.4,0.2579
6wae,2.13,0.2553
6wam,2.6,0.2286
6wax,1.5,0.1968
6wba,2.151,0.1973
6wbw,1.46,0.197
6wcr,2.68,0.2461
6wcx,2.89,0.2606
6wdw,2.2,0.2362
6wdy,2.65,0.2552
6we4,1.6,0.275
6wea,1.8,0.2375
6weo,2.6,0.2963
6wep,2.79,0.2852
6wf6,1.39,0.1815
6wfm,1.95,0.2181
6wg4,2.31,0.2354
6wh2,2.414,0.257
6whf,1.4,0.1807
6who,2.2,0.2207
6whp,2.25,0.2259
6wiw,2.3,0.2354
6wku,1.76,0.1615
6wla,2.6,0.2581
6wm1,1.8,0.2448
6wm7,1.56,0.1707
6wmi,2.75,0.1941
6wml,2.5,0.255
6wms,2.0,0.2395
6wmw,2.91,0.2897
6wnc,2.2,0.2188
6wnj,2.1,0.2393
6wnl,2.37,0.2803
6wnm,2.58,0.2424
6wob,1.45,0.2028
6woz,2.9,0.2577
6wp0,2.78,0.3205
6wpp,2.55,0.256
6wq9,1.305,0.1729
6wsj,1.7,0.1764
6wsm,2.451,0.3389
6wsr,2.85,0.2447
6wtb,2.58,0.2875
6wuv,2.63,0.2062
6wvn,2.0,0.178
6ww1,2.05,0.2948
6wwc,2.563,0.2665
6wxd,2.0,0.2534
6wy2,1.928,0.2184
6wz2,2.0006,0.2176
6wzj,2.37,0.242
6wzk,1.8,0.209
6wzm,2.28,0.229
6x0t,1.388,0.3112
6x1b,1.97,0.1846
6x1g,1.6,0.2182
6x1z,1.9,0.2386
6x28,1.92,0.2867
6x2q,2.27,0.2275
6x3j,2.7,0.271
6x3k,2.5,0.25
6x3l,2.7,0.2689
6x4e,2.6,0.2594
6x5d,1.15,0.2246
6x5j,2.513,0.2251
6x6o,1.52,0.1907
6x6y,2.5,0.2131
6x73,2.05,0.2441
6x78,2.359,0.226
6x9g,1.68,0.2007
6x9m,1.0,0.1591
6xa9,2.9,0.2305
6xex,1.8,0.2095
6xf3,2.38,0.2605
6xf9,2.22,0.2479
6xfo,1.58,0.2046
6xfu,1.4,0.1937
6xh2,1.71,0.2092
6xhd,1.51,0.2171
6xho,1.446,0.2387
6xi6,2.69,0.2772
6xib,1.546,0.2047
6xjs,1.942,0.2402
6xjy,2.156,0.2851
6xl1,1.95,0.2016
6xl7,1.42,0.1932
6xne,1.96,0.3086
6xp1,1.75,0.2097
6xpw,1.9,0.1802
6xq3,1.71,0.2196
6xq8,1.82,0.2183
6xqg,2.15,0.2438
6xqk,2.56,0.27
6xqm,1.85,0.2157
6xrb,1.76,0.2246
6xrf,2.56,0.2682
6xrp,2.4,0.2426
6xrs,2.8,0.2354
6xru,1.4,0.1842
6xs3,2.48,0.2134
6xs5,2.01,0.225310601564
6xst,2.92,0.2387
6xt2,1.55,0.1923
6xtq,1.4,0.1983
6xu0,1.9,0.2252
6xu2,2.834,0.2443
6xux,1.90000643078,0.230225500153
6xvm,0.9,0.1495
6xw2,1.75,0.1933
6xw4,2.19,0.2184
6xx4,1.05,0.1843
6xxx,1.25,0.1892
6xxz,1.7,0.2143
6xy0,1.11,0.1994
6xy1,1.5,0.1883
6xyx,1.44,0.1978
6xze,1.54,0.2141
6xzw,2.4,0.25
6y03,1.69,0.1953
6y09,2.4,0.2311
6y0o,2.2,0.247
6y0s,1.44,0.1684
6y1d,1.38,0.1873
6y1m,2.0,0.2302
6y1r,1.85,0.2345
6y22,2.069,0.2083
6y2u,1.93,0.2215
6y2v,2.0,0.2313
6y2y,1.7,0.18
6y3j,2.6,0.2822
6y3m,1.5,0.1966
6y3o,1.5,0.1981
6y3q,1.95,0.2576
6y4g,1.9,0.2175
6y6e,2.02,0.2513
6y6h,1.95,0.2116
6y73,1.7,0.2031
6y74,1.53,0.1984
6y81,1.54,0.2157
6y85,1.58,0.2334
6y91,2.5,0.286
6y9n,1.93,0.2162
6ya7,1.67,0.1852
6ybg,2.1,0.2353
6ybi,1.12,0.1525
6yc8,1.77,0.201
6ycm,1.6,0.2264
6ycp,1.8,0.1831
6ydj,1.04,0.1685
6ydv,2.07,0.2137
6ye3,2.89,0.2833
6yem,2.5,0.318
6yg3,2.05,0.2351
6ygb,2.451,0.2357
6ygc,2.994,0.2483
6ygg,1.85,0.2259
6ygk,1.4,0.1536
6yh3,1.49,0.1646
6yh4,1.3,0.1658
6yhk,2.7,0.2419
6yii,1.44,0.1473
6yio,1.83,0.2309
6yiv,0.95,0.1345
6yj8,1.84,0.2509
6yjt,1.7,0.2228
6yjw,2.1,0.1996
6ykz,1.2,0.207
6yl9,1.5,0.185
6ym9,2.03,0.2107
6ymm,2.2,0.2211
6ymn,2.05,0.2427
6yn9,2.558,0.2512
6yoc,1.86,0.2421
6yod,1.601,0.211
6yok,1.25,0.1536
6yow,1.23,0.19737
6yp2,1.8,0.2196
6yp9,2.564,0.2299
6ype,1.45,0.178
6yq3,1.57,0.1663
6yqj,1.58,0.2005
6yqm,1.02,0.1356
6yqs,1.683,0.2007
6yr6,1.75,0.2235
6yrd,1.75,0.1988
6yrq,1.902,0.2304
6yrv,1.94,0.2033
6ysb,1.2,0.1975
6ysp,1.38,0.1676
6yu7,2.3,0.2627
6yv2,2.1,0.2263
6yvc,1.85,0.2219
6yvp,2.77,0.3077
6ywm,2.16,0.2292
6yx2,1.62,0.2459
6yxi,1.34,0.1855
6yxq,2.7,0.2474
6yyc,1.274,0.2556
6yyw,2.27,0.2237
6yyy,2.29,0.2438
6yzh,1.19,0.1899
6yzl,1.2,0.1788
6yzo,1.5,0.2123
6z03,2.2,0.2413
6z0d,1.65,0.1944
6z1a,2.3,0.2167
6z1q,2.42,0.24588
6z25,1.24,0.1704
6z27,2.1,0.2357
6z2a,2.456,0.2498
6z2i,2.901,0.372
6z30,1.5,0.2284
6z3g,2.78,0.2878
6z4c,2.0,0.26655
6z4r,1.96,0.2683
6z52,2.12,0.2301
6z58,1.8,0.1897
6z60,1.166,0.1681
6z79,1.92,0.2528
6z7t,1.88,0.2167
6z88,2.687,0.2535
6z8g,1.56,0.233
6z8r,2.38,0.2518
6z8v,1.58,0.2057
6z9k,1.5,0.2013
6z9z,1.04,0.142
6zar,1.1,0.149
6zb2,2.282,0.2339
6zc0,1.97,0.229
6zct,2.55,0.1946
6zcy,1.81,0.223
6zdk,2.0,0.235
6zdv,2.13,0.224
6ze1,2.705,0.2576
6ze8,1.5,0.1679
6zef,1.94,0.2115
6zf1,1.74,0.1842
6zf8,1.75,0.1696
6zfl,1.6,0.186
6zg9,2.5,0.242
6zgq,1.9,0.2531
6zie,2.3,0.2592
6zio,1.55,0.278
6zkw,2.26,0.28706
6zmz,1.9,0.2227
6znw,2.121,0.2034
6znx,2.4,0.271
6zoe,2.85,0.2654
6zpj,1.9,0.2318
6zqo,2.2,0.3396
6zr6,1.5,0.1798
6zra,1.73,0.1773
6zrg,1.74,0.22
6zry,1.652,0.2185
6zrz,1.696,0.2189
6zsh,2.2,0.2298
6zu6,1.15,0.1591
6zun,1.793,0.2622
6zup,2.5,0.2433
6zur,2.31,0.2456
6zv7,1.94,0.1902
6zvw,1.6,0.2656
6zw1,1.13,0.1586
6zwy,1.0,0.1471
6zxw,2.19,0.217
6zz1,1.64,0.2311
6zzr,2.65,0.2771
7a0v,2.3,0.2523
7a0w,2.04,0.2347
7a16,1.9,0.216
7a1k,1.99,0.2274
7a28,1.89,0.2023
7a2j,1.5,0.2466
7a2k,1.5,0.2358
7a2r,1.05,0.1732
7a34,1.85,0.227
7a3v,1.7,0.2003
7a49,2.03,0.2159
7a52,2.1,0.2057
7a55,2.2,0.2251
7a5a,2.989,0.2395
7a6z,1.3,0.13737
7a70,1.8,0.2391
7a7r,2.35,0.2432
7a7w,1.3,0.1645
7a82,1.9,0.2499
7a84,2.1,0.2688
7a8l,1.75,0.225
7a8m,1.6,0.2446
7a8x,2.3,0.2559
7a9n,1.602,0.2243
7aa8,1.25,0.1939
7ac3,1.65,0.2106
7ac4,1.46,0.18
7aca,1.57,0.205
7acm,1.763,0.2028
7acv,2.4,0.3012
7acw,1.5,0.2045
7ad5,2.14,0.2755
7ae9,2.9,0.2457
7aeh,1.3,0.1735
7afu,1.56,0.2125
7afx,1.636,0.1812
7ag4,2.13,0.2008
7agl,1.6,0.1959
7ah1,2.0,0.2204
7ahk,2.5,0.253
7ahs,2.05,0.2351
7aht,2.16,0.2794
7ahy,2.532,0.2788
7aiw,1.9,0.2236
7aj4,2.0,0.2118
7ajp,1.38201802428,0.166873226508
7ak0,2.316,0.2203
7ak8,2.5,0.2678
7akb,2.8,0.2478
7akh,2.85,0.2448
7al2,2.701,0.2546
7ame,1.7,0.237
7amk,2.2,0.2694
7amz,2.25,0.2199
7anb,2.6,0.2448
7ani,1.3,0.1747
7anq,2.2,0.256
7anv,1.65,0.1961
7any,1.135,0.1921
7ap2,2.25,0.2353
7ap5,2.131,0.225
7apf,1.95,0.2549
7apg,2.4,0.2557
7apu,1.36,0.206
7apz,1.97,0.2549
7aq2,1.683,0.2011
7aqh,2.49,0.2859
7aql,1.8,0.223
7aqs,2.8,0.2433
7ara,2.243,0.2572
7as3,1.65,0.2201
7ats,2.8,0.3122
7au1,1.36,0.2035
7avg,1.0,0.1341
7avp,1.09,0.1526
7avs,2.28,0.2594
7avw,2.1,0.2511
7aw2,2.1,0.238
7awv,2.2,0.2611
7axe,1.9,0.2299
7axu,1.68,0.1933
7ayg,1.9,0.2078
7b0e,1.4,0.1773
7b0t,2.05,0.2756
7b13,1.37,0.1697
7b29,1.83,0.236
7b2e,2.8,0.2315
7b2s,1.5,0.1738
7b33,1.9,0.2084
7b38,1.85,0.2413
7b3f,1.39,0.2162
7b3h,1.28,0.2038
7b3s,1.85,0.203
7b45,1.38,0.1941
7b48,2.05,0.2275
7b4b,1.76,0.2184
7b4w,1.9,0.22732
7b4y,2.19,0.1583
7b57,1.95,0.2474
7b5w,1.0,0.226
7b6f,2.05,0.2093
7b7q,1.35,0.1579
7b81,2.092,0.3094
7b8b,2.03,0.2297
7b8n,1.56,0.2478
7b8v,1.863,0.2862
7b8z,1.73,0.2434
7bau,1.42,0.2255
7bbd,2.2,0.2524
7bbi,1.7,0.1561
7bbr,1.3,0.1628
7bc8,1.74,0.2385
7bcd,1.51,0.2379
7bce,1.87,0.2657
7bcf,1.86,0.2592
7bci,1.94,0.2482
7bd0,1.06,0.1849
7bdd,1.47,0.2106
7be3,1.25,0.1949
7ben,2.5,0.2822
7bfu,1.65,0.2205
7bfw,1.8,0.2434
7bgn,2.7,0.2458
7bgz,2.401,0.2663
7bhg,2.09,0.2297
7bhk,1.45,0.2143
7bhm,1.45,0.2203
7bhx,1.08,0.172
7bjj,1.8,0.1993
7bjs,2.28,0.2781
7bk1,2.0,0.2352
7bk9,1.94,0.2256
7bkh,1.4,0.1972
7bm7,1.87,0.2549
7bmf,2.2,0.2991
7bmj,1.75,0.2512
7bn1,1.97,0.2154
7bn6,1.5,0.255
7bn7,2.45,0.2259
7bnd,2.1,0.2464
7bp6,1.58,0.2002
7bqi,1.3,0.2399
7br5,1.0,0.1669
7bra,1.785,0.2009
7bs0,1.85,0.2115
7btc,2.101,0.233
7btz,2.4,0.2534
7bu5,1.8,0.206
7bvr,2.6,0.2494
7bvt,1.47,0.2066
7by6,2.997,0.2882
7bye,2.3,0.2323
7byi,2.76,0.3108
7byq,1.96,0.5568
7bz3,2.0,0.2864
7bz4,2.16,0.249
7bzc,2.303,0.2434
7bzz,2.501,0.2431
7c10,2.806,0.2754
7c1e,1.75,0.1828
7c1j,1.35,0.21637
7c1r,1.698,0.2291
7c22,2.0,0.2382
7c2b,1.7949,0.2105
7c2c,1.55,0.1819
7c2d,1.75,0.2049
7c2p,2.1,0.2627
7c31,1.3,0.1898
7c34,1.938,0.1953
7c38,1.2,0.1386
7c3i,2.3,0.2248
7c3z,1.957,0.2629
7c44,1.65,0.2647
7c45,1.769,0.2212
7c51,2.46,0.2641
7c5i,2.48,0.22337
7c5m,1.8,0.18878
7c5p,2.35,0.20975
7c5z,1.5,0.2256
7c66,2.3,0.2484
7c7b,1.5,0.205890288013
7c7g,1.86,0.265
7c7v,2.0,0.2678
7c8a,2.1,0.2172
7c8f,1.461,0.1724
7c8s,1.31,0.1965
7c9n,2.472,0.2759
7can,2.94,0.2671
7caw,1.876,0.1914
7caz,1.79,0.2287
7cb4,2.04,0.2036
7cb6,2.64,0.2463
7cba,2.901,0.2424
7cbb,2.6,0.2111
7cbe,1.7,0.2508
7cc3,1.72,0.2129
7cc4,2.0,0.2162
7cc8,2.3,0.209
7ccf,2.8,0.2491
7ccu,1.649,0.1988
7cd7,1.704,0.2262
7cdn,1.7,0.2107
7cdr,1.8,0.2242
7cel,1.9,0.215
7ceq,2.0,0.185
7cer,2.3,0.217
7cfc,2.4,0.2589
7cfe,2.02,0.2258
7cff,2.0,0.2324
7cg5,2.85,0.2859
7chb,2.4,0.2256
7ci2,2.8,0.2675
7ci4,2.0,0.24088
7ci6,2.7,0.3366
7cik,2.29,0.2614
7cin,1.79006366468,0.211489334734
7ckf,2.284,0.2589
7cmn,1.42,0.2227
7cn7,1.15,0.1215
7cnb,2.32,0.2708
7cnn,2.5,0.2293
7cnx,2.63,0.2884
7com,2.25,0.2463
7cou,2.25,0.2114
7cov,2.0,0.1878
7cp4,2.5,0.2517
7cra,1.7,0.2208
7csl,2.0,0.2752
7cso,2.39,0.2041
7ct3,1.85,0.2153
7ct9,2.3,0.2283
7ctp,1.8,0.2355
7ctv,2.88561127202,0.239387336707
7cty,2.8,0.3031
7cu2,2.4,0.263
7cug,1.62,0.2562
7cvn,2.75,0.2338
7cwg,2.8,0.31747
7cwy,2.59,0.2479
7cxe,2.5,0.2645
7d05,1.7,0.215
7d0p,1.8,0.2256
7d0t,1.74,0.2259
7d1m,1.35,0.157
7d1y,1.95,0.2251
7d22,1.6,0.2223
7d24,1.55,0.198
7d29,1.7,0.1893
7d2e,1.7,0.2685
7d30,2.1,0.2359
7d4y,2.962,0.245
7d50,1.77,0.1749
7d52,2.2,0.2498
7d5u,2.04,0.2538
7d6a,1.7,0.1752
7d6c,2.89,0.272
7d6l,1.947,0.2268
7d7v,2.8,0.308
7d7y,2.8,0.24
7d83,2.43,0.2779
7d89,2.89384086853,0.27908203961
7d8q,1.5,0.186
7d8v,2.3,0.2407
7d97,1.89,0.264
7d9x,1.74,0.187
7dal,2.5,0.2692
7dax,1.70000976227,0.199069133595
7db1,1.83,0.2109
7db3,1.7,0.2291
7dbk,1.802,0.2034
7dbl,1.84,0.2054
7dc8,2.757,0.2779
7dcb,2.0,0.1975
7dch,1.692,0.203
7dcy,1.972,0.1998
7de5,1.55,0.226
7deb,2.6,0.23813
7deo,2.5,0.2321
7det,2.2,0.2599
7dex,2.5,0.2561
7dfk,1.4,0.2505
7dfn,2.0,0.2093
7dfq,1.51,0.203
7dgj,1.6,0.24472
7dgu,1.75,0.2311
7dhk,2.341,0.2574
7di1,2.097,0.2641
7dia,1.55,0.197
7dkh,2.9,0.2478
7dlb,2.502,0.2405
7dlx,2.395,0.2791
7dm5,2.2,0.222
7dm9,1.71,0.2073
7dmb,2.1,0.2434
7dn7,1.7,0.2043
7dna,2.3,0.2707
7dnb,2.81,0.3354
7dnq,2.28,0.2099
7doy,2.17,0.2121
7dpr,1.75,0.25235
7dql,1.93,0.25772
7dqt,1.13,0.1966
7dra,2.78409685655,0.261524289513
7drg,1.6,0.2067
7drq,1.79,0.1824
7drz,1.7,0.2107
7dsr,2.5,0.267
7dt5,1.25,0.185
7dtj,2.402,0.2545
7dtl,1.8,0.2357
7dtp,2.3,0.2564
7dts,2.63,0.2703
7du9,2.31,0.249
7dvf,1.209,0.1953
7dvh,1.698,0.2018
7dvw,1.49,0.1726
7dw4,1.57,0.2268
7dxw,1.509,0.196
7dyg,2.0,0.1857
7dyu,1.72,0.1946
7dzk,1.54,0.223
7e05,1.88,0.211
7e0b,1.29,0.1906
7e0t,2.137,0.2723
7e0w,2.8,0.2603
7e1d,2.002,0.2121
7e2p,1.7,0.1821
7e3q,2.7,0.2515
7e3y,1.9,0.18879
7e48,2.5,0.2195
7e4r,2.597,0.2652
7e5g,1.66,0.229
7e5w,2.55,0.2546
7e69,2.61,0.231
7e6h,2.7,0.2368
7e78,2.21,0.2579
7e7g,2.35,0.2535
7e8r,1.9,0.2413
7ea4,1.95,0.208
7eal,2.5,0.2243
7eap,1.42,0.1469
7ear,2.2,0.2165
7eax,2.55,0.2349
7ebj,1.8,0.212
7ebo,2.5,0.2392
7eej,1.47798052862,0.216795213779
7eez,1.902,0.2362
7ef1,1.9,0.2259
7ef3,2.1,0.2685
7efa,2.7,0.2864
7efi,2.9,0.234
7efv,2.77,0.2375
7efw,1.65,0.1901
7eg3,2.09,0.2446
7eho,1.79,0.207
7ei2,2.08,0.2464
7eic,1.95,0.20475
7ein,1.7,0.2602
7ejg,1.68,0.2228
7ejv,2.5,0.246
7ekd,1.899,0.2122
7ekk,1.7,0.1915
7el1,2.22,0.2423
7elr,2.66,0.2648
7emj,2.33,0.2411
7emr,1.55,0.1635
7emv,1.45,0.176
7enl,2.2,
7eo3,1.141,0.1618
7eof,2.733,0.2614
7ep2,2.38,0.2539
7eql,2.72,0.3021
7eqm,2.50002374963,0.225165189353
7err,2.26,0.1976
7esj,2.06,0.2672
7esr,1.42,0.1476
7etb,1.85,0.1769
7ety,2.21,0.2076
7eus,2.3,0.2197
7eux,2.25,0.193
7evb,1.62,0.177
7evi,1.55,0.1702
7evj,2.57,0.2093
7evv,1.704,0.1806
7ew8,2.594,0.2679
7ewb,1.99,0.246
7ewc,2.05,0.2471
7eww,2.34,0.2461
7exk,2.14,0.2299
7eyj,1.38,0.178
7eym,1.38,0.2248
7eyp,1.5,0.2127
7ezf,2.76,0.2359
7ezp,2.8,0.2555
7f00,2.7,0.2651
7f05,2.298,0.234
7f07,2.25,0.266
7f0h,1.695,0.1875
7f0n,1.6,0.1815
7f0o,2.2,0.2554
7f19,1.773,0.2533
7f1d,2.05,0.222
7f28,1.877,0.2296
7f2f,2.55,0.2838
7f2i,2.35,0.2559
7f2u,1.984,0.2482
7f2w,2.16,0.1989
7f4p,2.98,0.2649
7f4r,1.83,0.2406
7f5j,1.593,0.1927
7f5p,1.9,0.2444
7f6x,2.16,0.2138
7f70,2.14,0.224
7f74,2.0,0.2327
7f7e,2.49,0.2562
7f7k,2.36,0.2266
7f97,2.394,0.2315
7f9f,1.411,0.1937
7f9l,2.7,0.2701
7fab,2.0,
7faj,2.24507255823,0.239817714938
7fbh,2.1,0.2364
7fbw,1.9,0.2101
7fc0,2.643,0.224
7ffk,0.84,0.13112
7ffr,2.31,0.2591
7fgx,2.05,0.2138
7fh9,1.9,0.1916
7fha,2.0,0.1826
7fhz,2.5,0.286
7fi0,2.31,0.2515
7fia,2.13,0.2313
7fic,2.32,0.274
7fjv,1.63,0.2401
7fjz,1.54,0.2531
7fkc,1.54,0.2502
7fki,1.47,0.2364
7fkt,1.44,0.2472
7fl2,1.58,0.2522
7fly,1.55,0.243
7fm8,1.55,0.2419
7fmb,1.55,0.2425
7fmi,1.34,0.2126
7fn5,1.69,0.2588
7fnd,1.51,0.2328
7fnn,1.65,0.2676
7fnr,1.6,0.2619
7fo4,1.53,0.2419
7fo8,1.72,0.3135
7fok,1.72,0.2972
7fp1,1.43,0.2216
7fp3,1.76,0.3107
7fpa,1.86,0.2888
7fps,1.26,0.1665
7fs1,1.863,0.2299
7fs2,2.374,0.2395
7ft0,2.45,0.2744
7ft4,2.17,0.3467
7fu8,1.718,0.2271
7fub,1.981,0.273
7fuf,1.919,0.2451
7fug,2.106,0.253
7fum,2.06,0.269
7fuv,1.19,0.2031
7fv0,1.21,0.1944
7fv7,1.25,0.2236
7fv9,1.17,0.2272
7fve,1.19,0.1974
7fvg,1.15,0.2029
7fvq,1.15,0.1892
7fw1,1.26,0.2169
7fw2,1.12,0.1657
7fw7,1.06,0.1874
7fwh,1.12,0.15
7fwo,1.12,0.1585
7fwu,1.01,0.183
7fx6,1.05,0.17
7fxb,1.12,0.1631
7fxn,1.02,0.1655
7fxv,0.88,0.1658
7fy1,2.01,0.2598
7fy2,1.12,0.171
7fy6,1.12,0.1605
7fz0,1.02,0.1659
7fzm,1.05,0.1864
7fzn,1.12,0.1586
7g06,1.26,0.1849
7g0a,1.12,0.1747
7g0c,1.14,0.2129
7g0e,1.11,0.1913
7g0h,1.46,0.1932
7g0m,1.05,0.1764
7g0p,1.02,0.1683
7g0v,1.06,0.1801
